Order,Family,Genus,Species,SVLMMx,SVLFMx,SVLMx,Longevity,NestingSite,ClutchMin,ClutchMax,Clutch,ParityMode,EggDiameter,Activity,Microhabitat,GeographicRegion,IUCN,PopTrend,RangeSize,ElevationMin,ElevationMax,Elevation
Anura,Aromobatidae,Aromobates,mayorgai,,,25.7,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,EN,Decreasing,367.435777149,793.0,2400.0,1596.5
Anura,Aromobatidae,Aromobates,meridensis,,,32.7,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,186.085064052,1800.0,3300.0,2550.0
Anura,Aromobatidae,Aromobates,molinarii,,,30.3,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,CR,Decreasing,477.214821154,1800.0,2600.0,2200.0
Anura,Aromobatidae,Aromobates,nocturnus,52.3,64.0,64.0,,,,,,Larval,,Nocturnal,Aquatic,South America,CR,Decreasing,169.221983714,2250.0,2250.0,2250.0
Anura,Aromobatidae,Aromobates,ornatissimus,,,,,,,,,,,,,South America,EN,,,2350.0,2350.0,2350.0
Anura,Aromobatidae,Aromobates,orostoma,,,,,Terrestrial,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,105.546180116,2300.0,2800.0,2550.0
Anura,Aromobatidae,Aromobates,saltuensis,23.1,26.9,26.9,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,EN,Decreasing,318.359271869,482.0,1500.0,991.0
Anura,Aromobatidae,Aromobates,serranus,,,28.6,,Terrestrial,,,,Larval,,Diurnal,Semi-aquatic,South America,CR,Decreasing,100.363544762,1800.0,2300.0,2050.0
Anura,Aromobatidae,Aromobates,tokuko,23.2,29.2,29.2,,,,,,,,,,South America,VU,Stable,,419.0,1005.0,712.0
Anura,Aromobatidae,Aromobates,walterarpi,,,,,,,,,,,,,South America,CR,Decreasing,,2325.0,2325.0,2325.0
Anura,Aromobatidae,Aromobates,zippeli,21.5,25.0,25.0,,,,,,,,,Terrestrial,South America,CR,Decreasing,,2970.0,2970.0,2970.0
Anura,Aromobatidae,Ectopoglossus,astralogaster,,22.2,22.2,,,,,,,,,,South America,DD,,,700.0,900.0,800.0
Anura,Aromobatidae,Ectopoglossus,atopoglossus,20.7,25.2,25.2,,,,,,Larval,,Cathemeral,Semi-aquatic,South America,CR,Decreasing,11.4531560128,1800.0,2260.0,2030.0
